 Name               Version    License                                            
 PyYAML             6.0.3      MIT License                                        
 Pygments           2.20.0     BSD-2-Clause                                       
 annotated-doc      0.0.4      MIT                                                
 anyio              4.13.0     MIT                                                
 av                 17.0.1     BSD-3-Clause                                       
 certifi            2026.4.22  Mozilla Public License 2.0 (MPL 2.0)               
 click              8.3.3      BSD-3-Clause                                       
 colorama           0.4.6      BSD License                                        
 ctranslate2        4.7.1      MIT                                                
 faster-whisper     1.2.1      MIT License                                        
 filelock           3.29.0     MIT                                                
 flatbuffers        25.12.19   Apache Software License                            
 fsspec             2026.4.0   BSD-3-Clause                                       
 h11                0.16.0     MIT License                                        
 hf-xet             1.5.0      Apache-2.0                                         
 httpcore           1.0.9      BSD-3-Clause                                       
 httpx              0.28.1     BSD License                                        
 huggingface_hub    1.14.0     Apache Software License                            
 idna               3.13       BSD-3-Clause                                       
 markdown-it-py     4.1.0      MIT License                                        
 mdurl              0.1.2      MIT License                                        
 numpy              2.4.4      BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0 
 onnxruntime        1.25.1     MIT License                                        
 packaging          26.2       Apache-2.0 OR BSD-2-Clause                         
 protobuf           7.34.1     3-Clause BSD License                               
 rich               15.0.0     MIT License                                        
 shellingham        1.5.4      ISC License (ISCL)                                 
 tokenizers         0.23.1     Apache Software License                            
 tqdm               4.67.3     MPL-2.0 AND MIT                                    
 typer              0.25.1     MIT                                                
 typing_extensions  4.15.0     PSF-2.0                                            
